home_team,away_team,id,market,competition_name,competition_cluster,status,federation,is_expired,season,result
NK Aluminij Kidricevo,Olimpija Ljubljana,40246,classic,. SNL,Slovenia,lost,UEFA,True,2018 - 2019,6 - 2
Arbroath,Stenhousemuir,40225,classic,League One,Scotland,won,UEFA,True,2018 - 2019,5 - 2
Peterhead,Annan Athletic,40233,classic,League Two,Scotland,won,UEFA,True,2018 - 2019,2 - 1
Kilmarnock,Hibernian,40218,classic,Premiership,Scotland,won,UEFA,True,2018 - 2019,3 - 0
FC Orenburg,Krylya Sovetov Samara,40216,classic,Premier League,Russia,postponed,UEFA,True,2018 - 2019,postp
Teramo,Renate,40121,classic,Serie C,Italy,won,UEFA,True,2018 - 2019,2 - 2
MSK Zilina,DAC Dunajska Streda,40245,classic,Superliga,Slovakia,won,UEFA,True,2018 - 2019,2 - 2
Borussia Dortmund,Freiburg,40096,classic,Bundesliga,Germany,won,UEFA,True,2018 - 2019,2 - 0
Clyde,Berwick Rangers,40231,classic,League Two,Scotland,lost,UEFA,True,2018 - 2019,3 - 3
Hannover,Hertha Berlin,40097,classic,Bundesliga,Germany,won,UEFA,True,2018 - 2019,0 - 2
Maccabi Haifa,Hapoel Haifa,40180,classic,Premier League,Israel,lost,UEFA,True,2018 - 2019,1 - 3
Bnei Yehuda,Bnei Sakhnin,40177,classic,Premier League,Israel,lost,UEFA,True,2018 - 2019,0 - 1
Dunfermline Athletic,Greenock Morton,40222,classic,Championship,Scotland,won,UEFA,True,2018 - 2019,3 - 0
Giana Erminio,FeralpiSalo,40118,classic,Serie C,Italy,won,UEFA,True,2018 - 2019,2 - 4
Maccabi Petah Tikva,Maccabi Tel Aviv,40181,classic,Premier League,Israel,lost,UEFA,True,2018 - 2019,1 - 1
MFK Zemplin Michalovce,Zlate Moravce,40243,classic,Superliga,Slovakia,won,UEFA,True,2018 - 2019,3 - 0
Cordoba,Elche,40321,classic,Segunda Division,Spain,won,UEFA,True,2018 - 2019,1 - 1
Mlada Boleslav,Karvina,40164,classic,First League,Czech Republic,lost,UEFA,True,2018 - 2019,1 - 1
Saint Mirren,Hamilton Academical,40220,classic,Premiership,Scotland,won,UEFA,True,2018 - 2019,1 - 3
Connah's Quay Nomads,Llandudno FC,40261,classic,Premier League,Wales,won,UEFA,True,2018 - 2019,3 - 0
Alloa Athletic,Ross County,40221,classic,Championship,Scotland,won,UEFA,True,2018 - 2019,0 - 1
Crystal Palace,Burnley,40056,classic,Premier League,England,won,UEFA,True,2018 - 2019,2 - 0
Mafra,Porto B,40208,classic,Segunda Liga,Portugal,won,UEFA,True,2018 - 2019,2 - 1
Braintree,Barrow,40073,classic,National League,England,won,UEFA,True,2018 - 2019,0 - 2
Alki Oroklini,Nea Salamina Famagusta,40162,classic,First Division,Cyprus,lost,UEFA,True,2018 - 2019,2 - 0
Stuttgart,Augsburg,40098,classic,Bundesliga,Germany,won,UEFA,True,2018 - 2019,1 - 0
Newcastle,West Ham,40060,classic,Premier League,England,won,UEFA,True,2018 - 2019,0 - 3
Aldershot,Ebbsfleet United,40072,classic,National League,England,lost,UEFA,True,2018 - 2019,0 - 2
Ards FC,Warrenpoint Town,40192,classic,NIFL Premiership,Northern Ireland,lost,UEFA,True,2018 - 2019,1 - 1
Manchester City,Bournemouth,40059,classic,Premier League,England,won,UEFA,True,2018 - 2019,3 - 1
